SN,open,high,low,close,change,pct_change,turnover,date
239,"3,030.51","3,085.80","3,002.10","3,079.67",29.24,0.96,"15,170,651,643.00",2021-07-27
240,"3,072.92","3,075.51","3,041.94","3,050.42",-8.24,-0.27,"14,139,785,431.00",2021-07-26
241,"3,017.56","3,058.63","3,017.56","3,058.63",54.31,1.81,"14,232,417,472.00",2021-07-25
242,"2,990.90","3,018.27","2,987.45","3,004.31",18.75,0.63,"11,114,121,616.00",2021-07-22
243,"3,005.43","3,005.43","2,975.71","2,985.57",-9.01,-0.30,"7,897,594,269.00",2021-07-20
244,"3,003.47","3,031.87","2,981.91","2,994.58",13.97,0.47,"11,813,754,607.00",2021-07-19
245,"2,892.47","2,980.61","2,892.47","2,980.61",97.21,3.37,"11,638,126,493.00",2021-07-18
246,"2,885.40","2,890.20","2,877.32","2,883.38",11.33,0.39,"8,143,614,302.00",2021-07-15
247,"2,882.06","2,883.19","2,857.87","2,872.05",1.01,0.04,"5,654,576,205.00",2021-07-14
248,"2,867.15","2,884.09","2,847.34","2,871.03",16.34,0.57,"5,546,356,224.00",2021-07-13
249,"2,915.56","2,929.70","2,843.17","2,854.76",-45.06,-1.55,"9,980,026,527.00",2021-07-12
250,"2,845.43","2,899.82","2,845.43","2,899.82",74.71,2.64,"8,061,382,496.00",2021-07-11
251,"2,815.28","2,832.54","2,793.43","2,825.10",23.97,0.86,"4,815,520,294.00",2021-07-08
252,"2,815.49","2,825.74","2,794.38","2,801.13",-16.97,-0.60,"4,585,861,976.00",2021-07-07
253,"2,829.99","2,834.77","2,813.39","2,818.10",-5.24,-0.19,"4,224,018,255.00",2021-07-06
254,"2,845.50","2,846.70","2,814.82","2,822.73",-11.78,-0.42,"4,582,212,579.00",2021-07-05
255,"2,852.24","2,857.63","2,832.56","2,834.51",-8.48,-0.30,"5,053,538,257.00",2021-07-04
256,"2,833.52","2,867.02","2,833.52","2,843.00",19.12,0.68,"6,707,775,484.00",2021-07-01
