,Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
889,2021-09-20,9.0,19200.0,19012.0,19012.0,130.0,2480930.0,19400.0,-388.0
890,2021-09-21,7.0,19074.0,18631.0,19074.0,80.0,1497278.0,19012.0,62.0
891,2021-09-22,8.0,19500.0,19200.0,19498.0,90.0,1747430.0,19074.0,424.0
892,2021-09-23,6.0,19380.0,19000.0,19380.0,60.0,1154800.0,19498.0,-118.0
893,2021-09-26,1.0,19650.0,19650.0,19650.0,10.0,196500.0,19380.0,270.0
894,2021-09-28,2.0,19650.0,19399.0,19399.0,20.0,390490.0,19650.0,-251.0
895,2021-09-29,2.0,19100.0,18800.0,18800.0,20.0,379000.0,19399.0,-599.0
896,2021-09-30,4.0,19176.0,18800.0,18800.0,50.0,951280.0,18800.0,0.0
897,2021-10-03,5.0,19100.0,18660.0,18660.0,70.0,1315970.0,18800.0,-140.0
898,2021-10-04,2.0,18750.0,18750.0,18750.0,20.0,375000.0,18660.0,90.0
899,2021-10-05,1.0,19000.0,19000.0,19000.0,20.0,380000.0,18750.0,250.0
900,2021-10-06,9.0,19686.0,19000.0,19324.0,94.0,1818396.0,19000.0,324.0
901,2021-10-10,19.0,20101.0,19590.0,19750.0,195.0,3874231.0,19324.0,426.0
902,2021-10-11,3.0,19355.0,18914.0,18914.0,40.0,764830.0,19750.0,-836.0
903,2021-10-18,3.0,18999.0,18650.0,18999.0,30.0,563490.0,18914.0,85.0
904,2021-10-19,5.0,18798.0,18620.0,18798.0,50.0,934180.0,18999.0,-201.0
905,2021-10-20,2.0,18700.0,18700.0,18700.0,30.0,561000.0,18798.0,-98.0
906,2021-10-21,5.0,19000.0,18750.2,18750.2,50.0,947502.0,18700.0,50.2
907,2021-10-24,9.0,19533.5,18775.0,19533.5,100.0,1930400.0,18750.2,783.3
908,2021-10-25,3.0,19142.9,19142.8,19142.9,30.0,574286.0,19533.5,-390.6
909,2021-10-26,2.0,19500.0,19200.0,19200.0,20.0,387000.0,19142.9,57.1
910,2021-10-27,5.0,19400.0,19100.0,19400.0,50.0,963500.0,19200.0,200.0
911,2021-10-28,2.0,19012.0,19012.0,19012.0,20.0,380240.0,19400.0,-388.0
912,2021-10-31,5.0,19736.0,19350.0,19710.0,70.0,1376680.0,19012.0,698.0
913,2021-11-01,2.0,19600.0,19550.0,19550.0,30.0,587500.0,19710.0,-160.0
914,2021-11-03,3.0,19159.0,18800.0,18800.0,30.0,568590.0,19550.0,-750.0
915,2021-11-08,4.0,19558.0,19167.0,19167.0,40.0,770760.0,18800.0,367.0
916,2021-11-09,3.0,19499.0,19200.0,19499.0,40.0,776790.0,19167.0,332.0
917,2021-11-11,7.0,19880.0,19109.1,19880.0,80.0,1556452.0,19499.0,381.0
918,2021-11-16,23.0,20277.6,19092.8,19999.0,285.0,5642671.0,19880.0,119.0
919,2021-11-17,6.0,20000.0,19600.0,19600.0,80.0,1573500.0,19999.0,-399.0
920,2021-11-18,2.0,19700.0,19308.1,19308.1,20.0,390081.0,19600.0,-291.9
921,2021-11-21,4.0,19599.0,19200.0,19200.0,40.0,774064.0,19308.1,-108.1
