,Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
387,2021-06-15,184.0,10799.0,10500.0,10580.0,3175.0,33805321.0,10665.0,-85.0
388,2021-06-16,393.0,10600.0,10100.0,10325.0,5781.0,59469228.0,10580.0,-255.0
389,2021-06-17,103.0,10435.0,10210.0,10300.0,1402.0,14454295.0,10325.0,-25.0
390,2021-06-20,170.0,10350.0,10000.0,10075.0,2576.0,26103382.0,10300.0,-225.0
391,2021-06-21,149.0,10200.0,9901.0,9998.0,2235.0,22360050.0,10075.0,-77.0
392,2021-06-22,142.0,10100.0,9990.0,10030.0,2349.0,23523880.0,9998.0,32.0
393,2021-06-23,129.0,10090.0,9752.0,9830.0,2760.0,27232135.0,10030.0,-200.0
394,2021-06-24,129.0,9900.0,9761.0,9775.0,2052.0,20143344.0,9830.0,-55.0
395,2021-06-27,70.0,10169.0,9700.0,9949.0,1119.0,11092365.0,9775.0,174.0
396,2021-06-28,33.0,10000.0,9851.0,9885.0,513.0,5080793.0,9949.0,-64.0
397,2021-06-29,47.0,9950.0,9750.0,9765.0,838.0,8230210.0,9885.0,-120.0
398,2021-06-30,78.0,9847.0,9600.0,9690.0,1426.0,13771990.0,9765.0,-75.0
399,2021-07-01,68.0,9883.0,9655.0,9750.0,838.0,8188793.0,9690.0,60.0
400,2021-07-04,50.0,9844.0,9711.0,9735.0,722.0,7046795.0,9750.0,-15.0
401,2021-07-05,121.0,10194.0,9670.0,9999.0,1935.0,19054192.0,9735.0,264.0
402,2021-07-06,65.0,10198.0,9930.0,9930.0,978.0,9791905.0,9999.0,-69.0
403,2021-07-07,13.0,9915.0,9811.0,9915.0,165.0,1621620.0,9930.0,-15.0
404,2021-07-08,54.0,9900.0,9800.0,9850.0,968.0,9548413.0,9915.0,-65.0
405,2021-07-11,59.0,9997.0,9860.0,9920.0,1297.0,12851115.0,9850.0,70.0
406,2021-07-12,83.0,10000.0,9771.0,9772.0,1108.0,10904460.0,9920.0,-148.0
407,2021-07-13,67.0,9850.0,9759.0,9777.0,1212.0,11858620.0,9772.0,5.0
409,2021-07-15,57.0,9851.0,9700.0,9849.0,988.0,9658615.0,9762.0,87.0
410,2021-07-18,73.0,10000.0,9855.0,9939.0,1287.0,12754601.0,9849.0,90.0
411,2021-07-19,212.0,10770.0,9950.0,10400.0,3216.0,32753534.0,9939.0,461.0
412,2021-07-20,238.0,10850.0,10550.0,10750.0,4112.0,44063842.0,10400.0,350.0
413,2021-07-22,114.0,10900.0,10500.0,10550.0,1694.0,17967522.0,10750.0,-200.0
414,2021-07-25,118.0,10600.0,10340.0,10390.0,1945.0,20326305.0,10550.0,-160.0
415,2021-07-26,78.0,10760.0,10267.0,10440.0,1984.0,20550810.0,10390.0,50.0
416,2021-07-27,106.0,10575.0,10290.0,10490.0,2228.0,23347633.0,10440.0,50.0
417,2021-07-28,129.0,10600.0,10500.0,10565.0,2047.0,21560297.0,10490.0,75.0
418,2021-07-29,89.0,10700.0,10580.0,10580.0,1670.0,17740232.0,10565.0,15.0
419,2021-08-01,227.0,11000.0,10756.0,10795.0,5133.0,55505547.0,10580.0,215.0
420,2021-08-02,88.0,10860.0,10633.0,10651.0,1317.0,14147451.7,10795.0,-106.0
421,2021-08-03,219.0,10999.0,10650.0,10980.0,6392.0,68828757.5,10651.0,329.0
422,2021-08-04,139.0,11199.0,10781.0,10802.0,1884.0,20640575.0,10980.0,-178.0
423,2021-08-05,114.0,10900.0,10684.0,10684.0,1552.0,16621714.2,10802.0,-118.0
424,2021-08-08,82.0,10700.0,10500.0,10700.0,1499.0,15873185.0,10684.0,16.0
425,2021-08-09,89.0,11000.0,10521.1,10521.1,1254.0,13430426.5,10700.0,-178.9
426,2021-08-10,207.0,10422.0,10115.0,10330.0,4046.0,41719669.5,10521.1,-191.1
427,2021-08-11,113.0,10330.0,10130.0,10186.0,1459.0,14923727.0,10330.0,-144.0
428,2021-08-12,249.0,10350.0,9883.0,9999.0,4120.0,41301103.0,10186.0,-187.0
429,2021-08-15,211.0,10094.0,9800.0,9852.0,3833.0,37866360.0,9999.0,-147.0
430,2021-08-16,130.0,10060.0,9745.0,9997.0,1997.0,19886821.0,9852.0,145.0
431,2021-08-17,98.0,10150.0,9825.0,9850.0,2635.0,26238985.0,9997.0,-147.0
432,2021-08-18,102.0,9999.0,9805.0,9870.0,1911.0,18909322.5,9850.0,20.0
433,2021-08-19,182.0,10150.0,9900.0,9980.0,3483.0,34977513.5,9870.0,110.0
434,2021-08-24,67.0,10150.0,9810.0,9845.0,981.0,9735065.0,9980.0,-135.0
436,2021-08-26,116.0,9900.0,9555.0,9690.0,1855.0,17951613.0,9756.0,-66.0
437,2021-08-29,119.0,9883.0,9525.1,9540.0,1655.0,15883970.8,9690.0,-150.0
438,2021-08-31,148.0,9455.0,9250.0,9300.0,2283.0,21312171.5,9540.0,-240.0
439,2021-09-01,60.0,9448.9,9250.0,9380.0,1032.0,9647393.0,9300.0,80.0
440,2021-09-02,78.0,9567.5,9240.1,9267.0,954.0,8958896.0,9380.0,-113.0
441,2021-09-05,175.0,9300.0,8571.0,8700.0,2782.0,24437385.5,9267.0,-567.0
442,2021-09-06,114.0,9020.0,8650.0,9020.0,1903.0,16697600.0,8700.0,320.0
443,2021-09-07,55.0,8920.0,8700.0,8900.0,827.0,7318142.0,9020.0,-120.0
444,2021-09-08,68.0,9000.0,8580.0,8700.0,945.0,8241462.0,8900.0,-200.0
445,2021-09-09,58.0,8874.0,8650.0,8666.0,802.0,6998390.0,8700.0,-34.0
446,2021-09-12,51.0,8840.0,8702.0,8780.5,781.0,6860705.0,8666.0,114.5
447,2021-09-13,53.0,8996.0,8800.0,8870.0,1344.0,11997194.0,8780.5,89.5
